titulo,lancamento,duracao,genero
O Diabo Veste Prada 2,30 de abril de 2026,1h 59min,"Comédia,,,Drama"
Star Wars: O Mandaloriano e Grogu,21 de maio de 2026,2h 12min,"Aventura,,,Ação,,,Fantasia"
Michael,23 de abril de 2026,2h 08min,"Biopic,,,Drama,,,Musical"
Mortal Kombat II,7 de maio de 2026,1h 56min,"Aventura,,,Ação"
Obsessão,14 de maio de 2026,1h 49min,Terror
Passageiro do Mal,21 de maio de 2026,1h 34min,Terror
Authentic Games no Império Desconectado,14 de maio de 2026,1h 11min,Animação
Super Mario Galaxy: O Filme,2 de abril de 2026,1h 39min,"Animação,,,Aventura,,,Ação"
Hokum: O Pesadelo da Bruxa,21 de maio de 2026,1h 48min,Terror
Sexo e Destino,21 de maio de 2026,1h 50min,Drama
O Gênio do Crime,14 de maio de 2026,1h 30min,"Aventura,,,Drama"
Velhos Bandidos,26 de março de 2026,1h 33min,"Ação,,,Comédia,,,Policial"
