data_hora,temperatura_C
2026-04-21 00:00:00,7.4
2026-04-21 01:00:00,8.9
2026-04-21 02:00:00,10.8
2026-04-21 03:00:00,11.7
2026-04-21 04:00:00,12.2
2026-04-21 05:00:00,11.5
2026-04-21 06:00:00,11.2
2026-04-21 07:00:00,11.4
2026-04-21 08:00:00,11.3
2026-04-21 09:00:00,10.4
2026-04-21 10:00:00,8.7
2026-04-21 11:00:00,7.8
2026-04-21 12:00:00,7.0
2026-04-21 13:00:00,6.7
2026-04-21 14:00:00,6.4
2026-04-21 15:00:00,6.3
2026-04-21 16:00:00,6.4
2026-04-21 17:00:00,6.7
2026-04-21 18:00:00,6.3
2026-04-21 19:00:00,6.1
2026-04-21 20:00:00,5.5
2026-04-21 21:00:00,5.6
2026-04-21 22:00:00,5.9
2026-04-21 23:00:00,6.1
2026-04-22 00:00:00,7.0
2026-04-22 01:00:00,8.4
2026-04-22 02:00:00,9.6
2026-04-22 03:00:00,9.8
2026-04-22 04:00:00,11.2
2026-04-22 05:00:00,12.6
2026-04-22 06:00:00,12.4
2026-04-22 07:00:00,12.1
2026-04-22 08:00:00,12.7
2026-04-22 09:00:00,12.4
2026-04-22 10:00:00,11.1
2026-04-22 11:00:00,9.4
2026-04-22 12:00:00,8.1
2026-04-22 13:00:00,7.2
2026-04-22 14:00:00,6.5
2026-04-22 15:00:00,6.9
2026-04-22 16:00:00,6.8
2026-04-22 17:00:00,5.8
2026-04-22 18:00:00,6.7
2026-04-22 19:00:00,6.3
2026-04-22 20:00:00,5.9
2026-04-22 21:00:00,5.5
2026-04-22 22:00:00,5.4
2026-04-22 23:00:00,5.8
2026-04-23 00:00:00,6.9
2026-04-23 01:00:00,8.5
2026-04-23 02:00:00,9.9
2026-04-23 03:00:00,10.7
2026-04-23 04:00:00,11.1
2026-04-23 05:00:00,10.5
2026-04-23 06:00:00,10.3
2026-04-23 07:00:00,9.1
2026-04-23 08:00:00,7.5
2026-04-23 09:00:00,7.8
2026-04-23 10:00:00,6.8
2026-04-23 11:00:00,5.7
2026-04-23 12:00:00,6.3
2026-04-23 13:00:00,6.4
2026-04-23 14:00:00,6.5
2026-04-23 15:00:00,7.1
2026-04-23 16:00:00,7.4
2026-04-23 17:00:00,6.9
2026-04-23 18:00:00,7.1
2026-04-23 19:00:00,6.8
2026-04-23 20:00:00,6.0
2026-04-23 21:00:00,5.6
2026-04-23 22:00:00,5.5
2026-04-23 23:00:00,5.7
